id_filme,titulo,data_lancamento,media_avaliacoes,numero_avaliacoes,popularidade,sinopse,idioma_original,generos,diretor,roteirista
986056,Thunderbolts*,2025-04-30,7.4,1136,85.1639,"Depois de se verem presos em uma armadilha mortal, uma equipe não convencional de anti-heróis deve embarcar em uma missão perigosa que os forçará a confrontar os cantos mais sombrios de seus passados.",en,"Ação, Ficção científica, Aventura",Jake Schreier,Eric Pearson
1199974,Párvulos: Hijos Del Apocalipsis,2024-10-18,6.929,21,76.168,,es,Terror,Isaac Ezban,Isaac Ezban
1232933,Terror no Rio,2025-05-02,6.647,58,75.2214,Uma equipe de mergulhadores enfrenta um tubarão-touro nas profundezas e um grupo de criminosos implacáveis na superfície.,en,"Terror, Ação, Aventura, Thriller",Matthew Holmes,Matthew Holmes
1449951,Blancanieves y los 7 enanitos,2025-03-07,5.5,4,83.9565,,en,"Animação, Família, Fantasia",Michael Johnson,Joe Roche
1411773,The Last Stand of Ellen Cole,2024-10-18,8.119,21,70.234,Um empreiteiro quer expulsar uma idosa... sem saber que ela é uma assassina treinada que fará de tudo para proteger sua casa.,en,"Ação, Aventura",Clif Prowse,Tim Walker
822119,Capitão América: Admirável Mundo Novo,2025-02-12,6.1,2186,76.3916,"Após se encontrar com o recém-eleito presidente dos EUA, Thaddeus Ross, Sam se vê no meio de um incidente internacional. Ele deve descobrir o motivo por trás de uma conspiração global nefasta antes que o verdadeiro gênio faça o mundo inteiro ser dominado pelo vermelho.",en,"Ação, Thriller, Ficção científica",Julius Onah,Julius Onah
1232546,Until Dawn: Noite de Terror,2025-04-23,6.561,686,69.7389,"Um ano após o misterioso desaparecimento de sua irmã Melanie, Clover e seus amigos partem para o vale remoto onde o desaparecimento aconteceu em busca de respostas. Ao explorarem um centro de visitantes abandonado, eles acabam sendo caçados por um assassino mascarado e mortos brutalmente um a um... apenas para acordarem no dia seguinte e se encontrarem novamente no começo da mesma tarde. Presos no vale, eles são forçados a reviverem a mesma noite de novo e de novo, com a única mudança sendo a ameaça assassina, cada vez mais assustadora que a última. Com as esperanças no fim, o grupo logo percebe que eles têm apenas mais um limitado número de mortes disponível, e que a única maneira de escaparem é se sobreviverem até o amanhecer.",en,"Terror, Mistério",David F. Sandberg,Blair Butler
1011477,Karatê Kid: Lendas,2025-05-08,6.87,146,70.7826,"Após uma tragédia familiar, o prodígio do kung fu Li Fong é forçado a deixar sua casa em Pequim e se mudar para Nova York com sua mãe. Li luta para deixar o passado para trás enquanto tenta se enturmar com seus novos colegas de classe, e, embora não queira brigar, os problemas parecem encontrá-lo por toda parte. Quando um novo amigo precisa de sua ajuda, Li entra em uma competição de karatê – mas suas habilidades sozinhas não são suficientes. O professor de kung fu de Li, Sr. Han, recruta o lendário Karatê Kid original, Daniel LaRusso, para ajudá-lo, e Li aprende uma nova forma de lutar, combinando seus dois estilos em um confronto épico de artes marciais.",en,"Ação, Aventura, Drama",Jonathan Entwistle,Rob Lieber
1411773,The Last Stand of Ellen Cole,2024-10-18,8.119,21,70.234,Um empreiteiro quer expulsar uma idosa... sem saber que ela é uma assassina treinada que fará de tudo para proteger sua casa.,en,"Ação, Aventura",Clif Prowse,Tim Walker
1232546,Until Dawn: Noite de Terror,2025-04-23,6.56,687,69.7389,"Um ano após o misterioso desaparecimento de sua irmã Melanie, Clover e seus amigos partem para o vale remoto onde o desaparecimento aconteceu em busca de respostas. Ao explorarem um centro de visitantes abandonado, eles acabam sendo caçados por um assassino mascarado e mortos brutalmente um a um... apenas para acordarem no dia seguinte e se encontrarem novamente no começo da mesma tarde. Presos no vale, eles são forçados a reviverem a mesma noite de novo e de novo, com a única mudança sendo a ameaça assassina, cada vez mais assustadora que a última. Com as esperanças no fim, o grupo logo percebe que eles têm apenas mais um limitado número de mortes disponível, e que a única maneira de escaparem é se sobreviverem até o amanhecer.",en,"Terror, Mistério",David F. Sandberg,Blair Butler
1225915,Ladrão de Joias: Começa o Assalto,2025-04-24,6.721,61,68.851,"Nesta batalha feroz de inteligência e determinação, o astuto vigarista Rehan planeja um roubo de diamantes e tenta enganar Rajan, seu sádico adversário.",hi,"Ação, Thriller",Kookie Gulati,David Logan
82702,Como Treinar o seu Dragão 2,2014-06-05,7.674,9871,68.5042,"Cinco anos após convencer os habitantes de seu vilarejo que os dragões não devem ser combatidos, Soluço convive com seu dragão Fúria da Noite, e estes animais integraram pacificamente a rotina dos moradores da ilha de Berk. Entre viagens pelos céus e corridas de dragões, Soluço descobre uma caverna secreta, onde centenas de novos dragões vivem. O local é protegido por Valka, mãe de Soluço, que foi afastada do filho quando ele ainda era um bebê. Juntos, eles precisarão proteger o mundo que conhecem do perigoso Drago Bludvist, que deseja controlar todos os dragões existentes.",en,"Fantasia, Ação, Aventura, Animação, Comédia, Família",Dean DeBlois,Dean DeBlois
947891,Meu Eu do Futuro,2024-09-13,6.85,331,62.8952,"Nesta nova história de amadurecimento, uma viagem à base de cogumelo, no aniversário de 18 anos deixa a livre Elliott (Maisy Stella) cara a cara com seu eu brincalhão de 39 anos (Aubrey Plaza). Quando a eu do futuro de Elliott começa a aconselhar seu eu mais jovem a não se apaixonar, ela tem certeza de que pode fazer isso mesmo sozinha. Isso até ela conhecer o rapaz sobre o qual seu eu mais velho a alertou. Ai Elliott percebe que precisa repensar tudo sobre família, amor e percebe que este está se tornando um verão transformador.",en,"Comédia, Drama",Megan Park,Megan Park
1421982,Kiff: A Lenda do Anel Luminoso,2025-01-21,5.6,5,66.9082,Kiff e seus amigos embarcam numa aventura para destruir um anel luminoso muito poderoso.,en,"Animação, Aventura, Comédia, Fantasia, Família, Música",Allison Craig,
589018,Sauvages,2024-10-16,6.978,23,61.672,Kéria e Selaï lutam contra a destruição do seu lar de um filhote de orangotango que foi resgatado.,fr,"Aventura, Animação, Drama, Família",Claude Barras,Claude Barras
324544,Nas Terras Perdidas,2025-02-27,6.496,483,64.9721,"Uma rainha, desesperada para ganhar o dom da mudança de forma, toma uma atitude ousada: contrata a feiticeira Gray Alys, uma mulher tão temida quanto poderosa. Enviada para a selva fantasmagórica das Terras Perdidas, Alys e seu guia, o andarilho Boyce, devem enganar e lutar contra o homem e o diabo em uma fábula que explora a natureza do bem e do mal, da dívida e da satisfação, do amor e da perda.",en,"Ação, Fantasia, Aventura",Paul W. S. Anderson,Constantin Werner
1257960,Sikandar,2025-03-29,4.84,50,62.9694,"Um trágico acidente leva o poderoso Sikandar a proteger os menos afortunados, usando de todos os meios para enfrentar a corrupção e a ganância.",hi,"Ação, Drama",A.R. Murugadoss,A.R. Murugadoss
11544,Lilo & Stitch,2002-06-21,7.555,6628,62.8544,"Lilo é uma garotinha de cinco anos que ama cuidar de animais. Um dia ela adota um cachorro e decide chamá-lo de Stitch. O que ela não sabe é que Stitch é um alienígena e um dos criminosos mais perigosos da galáxia. Agora, para escapar de seus captores que ainda o persegue, Stitch decide se passar por um cachorro comum, criando com o tempo um laço de amizade com Lilo.",en,"Animação, Família, Comédia",Chris Sanders,Dean DeBlois
939243,Sonic 3: O Filme,2024-12-19,7.7,2690,58.9546,"Sonic, Knuckles e Tails se reúnem contra um novo e poderoso adversário, Shadow, um vilão misterioso com poderes diferentes de tudo que eles já enfrentaram antes. Com suas habilidades superadas em todos os sentidos, a Equipe Sonic deve buscar uma aliança improvável na esperança de parar Shadow e proteger o planeta.",en,"Ação, Ficção científica, Comédia, Família",Jeff Fowler,John Whittington
1010581,Minha Culpa,2023-06-08,7.8,3711,62.2082,"Noah é obrigada a mudar de cidade, deixando seus amigos e namorado para trás, após sua mãe se casar com um novo marido rico. Lá ela conhece Nick, seu novo meio-irmão, e os dois se apaixonam loucamente, vivendo um grande romance proibido.",es,"Romance, Drama",Domingo González,Domingo González
1022787,Elio,2025-06-18,6.595,21,60.1948,"Elio, um garoto oprimido com uma imaginação fértil, acaba sendo transportado acidentalmente para o Comuniverso. Identificado por engano como o embaixador da Terra para o resto do universo, Elio precisará formar novos laços com excêntricas formas de vida alienígenas, sobreviver a uma série de tribulações terríveis e, de alguma forma, descobrir quem ele realmente está destinado a ser.",en,"Família, Comédia, Aventura, Animação, Ficção científica",Adrian Molina,Julia Cho
7451,Triplo X,2002-08-09,5.945,4439,59.5379,"O ex-atleta de esportes extremos Xander ""XXX"" Cage, famoso por suas acrobacias que desafiam a morte, é convencido de que pode ter sucesso em ações que espiões convencionais falharam. Xander é recrutado pelo agente Gibbons para se tornar um tipo diferente de agente secreto. Agora, em uma perigosa missão, ele precisa usar todas as suas habilidades para combater um inimigo mortal.",en,"Ação, Aventura, Thriller, Crime",Rob Cohen,Rich Wilkes
715287,새엄마의 욕망,2020-05-29,7.2,20,59.3728,,ko,"Drama, Romance",Lee Dong-Joon,
1395724,痴人の愛,2024-11-29,6.0,1,59.3449,,ja,Drama,Kishū Izuchi,Kaori Kotani
1426680,Nossos Tempos,2025-06-09,6.75,40,59.1939,"O casal de físicos Nora e Héctor viajam de 1966 para 2025. Nora se dá muito bem, mas o marido não se adapta. Será que a relação vai sobreviver aos novos tempos?",es,"Ficção científica, Romance, Comédia",Chava Cartas,Angélica Gudiño
166428,Como Treinar o Seu Dragão 3,2019-01-03,7.75,6638,55.1007,"Decidido a fazer de Berk um verdadeiro libelo ao ideal da convivência pacífica entre homens e dragões, Soluço e seus amigos seguem atrás de caçadores, para não só libertar suas presas mas também impedir a matança desenfreada dos animais. O esforço do grupo desperta a atenção de Grimmel ao descobrir que entre eles está Banguela, um legítimo Fúria da Noite. O vilão então desenvolve um plano para capturá-lo a todo custo, usando como arma uma fêmea capturada, da mesma espécie.",en,"Animação, Família, Aventura",Dean DeBlois,Dean DeBlois
170,Extermínio,2002-10-31,7.238,7207,53.9032,"Um poderoso vírus está a solta. Transmitido em uma gota de sangue e com efeito devastador em alguns segundos, o vírus mantém os infectados em um estado permanente de descontrole assassino. Dentro de 28 dias, o país está tomado e um punhado de sobreviventes inicia esforços para garantir algum futuro à raça humana, mas o que não percebem é que o vírus mortal não é única coisa que os ameaça.",en,"Terror, Thriller, Ficção científica",Danny Boyle,Alex Garland
977294,Soldado Tin,2025-05-22,4.877,57,52.2807,"Um ex-agente das forças especiais busca vingança contra um líder de culto que corrompeu seus antigos companheiros, os Shinjas. Este líder, conhecido como Bokushi, promete aos veteranos um propósito e proteção, mas se revela uma influência destrutiva. O ex-soldado, Nash Cavanaugh, une forças com o agente militar Emmanuel Ashburn para se infiltrar na fortaleza dos Bokushi e expor seu reinado de terror.",en,"Ação, Thriller",Brad Furman,Brad Furman
1022787,Elio,2025-06-18,7.1,17,60.1948,"Elio, um garoto oprimido com uma imaginação fértil, acaba sendo transportado acidentalmente para o Comuniverso. Identificado por engano como o embaixador da Terra para o resto do universo, Elio precisará formar novos laços com excêntricas formas de vida alienígenas, sobreviver a uma série de tribulações terríveis e, de alguma forma, descobrir quem ele realmente está destinado a ser.",en,"Família, Comédia, Aventura, Animação, Ficção científica",Adrian Molina,Julia Cho
1426306,Titan: O Desastre da OceanGate,2025-06-06,7.108,65,46.0028,O submersível turístico Titan implodiu no fundo do oceano ao visitar os destroços do Titanic. Este documentário detalha como uma visão audaciosa terminou em tragédia.,en,"Documentário, Drama",Mark Monroe,
56379,Casotto,1977-10-27,6.474,65,42.8641,,it,Comédia,Sergio Citti,Vincenzo Cerami
950396,Entre Montanhas,2025-02-13,7.711,2704,45.3919,"Dois agentes altamente treinados se aproximam à distância após serem enviados para proteger lados opostos de um desfiladeiro misterioso. Quando um mal emerge, eles precisam trabalhar juntos para sobreviver ao que está lá dentro.",en,"Romance, Ficção científica, Thriller",Scott Derrickson,Zach Dean
1303162,Cells at Work!,2024-12-13,7.5,21,46.6914,"Um glóbulo vermelho novato e um glóbulo branco incansável trabalham em conjunto para proteger sua humana contra germes invasores, patógenos e outras ameaças.",ja,"Aventura, Ação, Comédia, Fantasia",Hideki Takeuchi,Yuichi Tokunaga
1136867,Amores Materialistas,2025-06-12,7.2,27,48.118,O lucrativo negócio de uma casamenteira se complica quando ela se envolve em um triângulo amoroso tóxico que ameaça seus clientes.,en,"Romance, Drama",Celine Song,Celine Song
1094473,Bambi: Uma aventura na floresta,2024-10-16,6.036,28,47.2482,"Em Bambi: Uma Aventura na Floresta, um jovem cervo que, ao lado da sabedoria e do amor da sua mãe, aprende lições necessárias para sobreviver na floresta. Com o carinho e a amizade dos outros animais, como o corvo, o coelho e o guaxinim, Bambi explora as maravilhas da natureza e se encanta com o mundo à sua volta. Com a chegada do outono, porém, a vida do pequeno cervo muda drasticamente, quando sua mãe morre nas mãos de caçadores, separando os dois para sempre. Sozinho e em luto, Bambi precisa canalizar toda a força materna aprendida para superar as adversidades. É através de um reencontro com a amiga de infância Faline e os conselhos do Príncipe da Floresta, um majestoso cervo que termina por ser seu pai, Bambi se prepara para os desafios e os perigos que o esperam. Sob a proteção paterna e o cultivo da esperança, Bambi amadurece e se fortalece, devagar assumindo o controle de seu destino e vivendo em harmonia apesar das dificuldades.",fr,"Aventura, Família, Documentário",Michel Fessler,Michel Fessler
1234821,Jurassic World: Recomeço,2025-07-01,0.0,0,46.7286,"Este novo capítulo cheio de ação acompanha uma equipe intrépida que corre contra o tempo para obter amostras de DNA das três criaturas mais colossais da terra, do mar e do ar. Cinco anos após os eventos de Jurassic World: Domínio, a ecologia do planeta se mostrou amplamente inóspita para os dinossauros. Os remanescentes existem em ambientes equatoriais isolados, com climas semelhantes àqueles nos quais prosperaram no passado. As três criaturas mais colossais dessa biosfera tropical possuem a chave para um medicamento com benefícios milagrosos que podem salvar vidas humanas.",en,"Ficção científica, Aventura, Ação",Gareth Edwards,David Koepp
897160,Mulher Valente,2023-10-25,6.947,47,45.2967,"Ex-campeã de boxe e agora professora substituta, ela testemunha um ato de violência que não consegue ignorar. Cansada da impunidade, ela decide deixar de lado as regras e enfrentar a injustiça com a única coisa que nunca a traiu: seus punhos. A escola não será mais um lugar seguro para os culpados.",ko,"Ação, Drama, Comédia",Park Jin-pyo,Hyeon Choong-yeol
1022789,Divertida Mente 2,2024-06-11,7.553,5922,45.3736,"""Divertida Mente 2"", da Disney e da Pixar, retorna à mente da adolescente Riley, e o faz no momento em que a sala de comando está passando por uma demolição repentina para dar lugar a algo totalmente inesperado: novas emoções! Alegria, Tristeza, Raiva, Medo e Nojinho não sabem bem como reagir quando Ansiedade aparece, e tudo indica que ela não está sozinha.",en,"Animação, Aventura, Comédia, Família",Kelsey Mann,Meg LeFauve
1156593,Sua Culpa,2024-12-26,7.132,1277,43.3862,"O amor entre Noah e Nick aparenta ser inabalável, apesar das tentativas de seus pais de separá-los. Mas o emprego dele, e a entrada dela na faculdade abrem suas vidas para novos relacionamentos. O retorno de uma ex-namorada vingativa e da mãe de Nick, com intenções obscuras, vão balançar não só o relacionamento deles, mas também de toda a família Leister. Quando tantas pessoas buscam destruir um relacionamento, será que ele consegue sobreviver?",es,"Romance, Drama",Domingo González,Domingo González
1040159,My Massive Cock,2022-10-24,5.8,8,43.386,,en,Documentário,Mike Nicholls,
170,Extermínio,2002-10-31,7.238,7206,53.9032,"Um poderoso vírus está a solta. Transmitido em uma gota de sangue e com efeito devastador em alguns segundos, o vírus mantém os infectados em um estado permanente de descontrole assassino. Dentro de 28 dias, o país está tomado e um punhado de sobreviventes inicia esforços para garantir algum futuro à raça humana, mas o que não percebem é que o vírus mortal não é única coisa que os ameaça.",en,"Terror, Thriller, Ficção científica",Danny Boyle,Alex Garland
1297028,Rosario,2025-05-01,5.561,41,42.6546,"Quando Rosario, uma empresária de sucesso, recebe a notícia da morte de sua avó distante, ela precisa voltar ao antigo apartamento da família. No entanto, uma forte nevasca a surpreende, obrigando-a a passar a noite no local. Cercada por vizinhos estranhos e por um silêncio cada vez mais inquietante, Rosario logo percebe que algo maligno e ancestral habita aquele lugar. Ao descobrir uma maldição que atravessa gerações, ela precisará enfrentar os segredos enterrados de sua família para proteger não apenas a própria vida, mas também sua alma.",en,Terror,Felipe Vargas,Alan Trezza
533535,Deadpool & Wolverine,2024-07-24,7.592,7374,42.0133,"Um apático Wade Wilson trabalha duro na vida civil. Seus dias como mercenário moralmente flexível, Deadpool, ficaram para trás. Quando seu planeta enfrenta uma ameaça, Wade deve relutantemente vestir-se novamente com um ainda mais relutante... relutante? Mais relutante? Ele deve convencer um Wolverine relutante em... Porra. As sinopses são tão estúpidas.",en,"Ação, Comédia, Ficção científica",Shawn Levy,Rhett Reese
1219555,Wunderschöner,2025-02-13,8.2,16,45.9222,,de,"Comédia, Drama, Romance",Karoline Herfurth,Monika Fäßler
259872,Des jours plus belles que la nuit,2009-10-10,5.855,100,43.8229,,fr,Romance,Murielle Scherre,
1001414,Rua do Medo: Rainha do Baile,2025-05-23,5.373,315,41.3821,"Quem será a rainha do baile do Shadyside High de 1988? Para Lori, a competição sempre foi implacável. E a situação piora quando alguém começa a matar as candidatas.",en,"Terror, Mistério",Matt Palmer,Matt Palmer
