id_filme,titulo,data_lancamento,media_avaliacoes,numero_avaliacoes,popularidade,idioma_original,generos,diretor,roteirista
1414272,Belyas,2025-02-07,7.333,6,38.4438,tl,Drama,G.B. Sampedro,Marvic Kevin Reyes
668489,Caos e Destruição,2025-04-25,6.468,835,39.4695,en,"Ação, Crime, Thriller",Gareth Evans,Gareth Evans
1160956,‎Operação Panda: Missão Resgate,2024-10-01,6.898,206,42.2603,zh,"Ação, Comédia",Zhang Luan,Wei Xu
933260,A Substância,2024-09-07,7.144,4742,37.9771,en,"Drama, Terror, Ficção científica",Coralie Fargeat,Coralie Fargeat
1144430,Bala Perdida 3,2025-05-06,6.579,178,37.8235,fr,"Ação, Crime, Thriller, Drama",Guillaume Pierret,Guillaume Pierret
1266860,Lo que quisimos ser,2024-10-18,7.5,2,42.0116,es,"Drama, Comédia, Romance",Alejandro Agresti,Alejandro Agresti
968171,性教育ママ,1973-11-20,5.9,5,44.7633,ja,Comédia,Akira Kato,Toshirō Ishidō
1011985,Kung Fu Panda 4,2024-03-02,7.061,3108,37.4515,en,"Animação, Família, Ação, Comédia, Aventura, Fantasia",Mike Mitchell,Glenn Berger
1153714,Morte de um Unicórnio,2025-03-27,6.42,295,38.3917,en,"Terror, Fantasia, Comédia",Alex Scharfman,Alex Scharfman
710258,Rust,2025-05-01,6.333,60,37.1231,en,Faroeste,Joel Souza,Joel Souza
1359977,Conjuring the Cult,2024-10-01,5.719,32,36.0508,en,"Terror, Drama",Calvin Morie McCarthy,Calvin Morie McCarthy
1092506,Apostas & Segredos,2025-04-24,6.0,35,39.9133,en,"Drama, Romance",Daniel Minahan,Bryce Kass
1061474,Superman,2025-07-09,0.0,0,37.6631,en,"Ação, Aventura, Ficção científica",James Gunn,James Gunn
238,O Poderoso Chefão,1972-03-14,8.686,21543,31.2711,en,"Drama, Crime",Francis Ford Coppola,Mario Puzo
1266675,Una ballena,2025-03-28,5.5,8,35.6359,es,Mistério,Pablo Hernando,Pablo Hernando
157336,Interestelar,2014-11-05,8.455,37293,34.9778,en,"Aventura, Drama, Ficção científica",Christopher Nolan,Jonathan Nolan
299536,Vingadores: Guerra Infinita,2018-04-25,8.236,30627,34.3929,en,"Aventura, Ação, Ficção científica",Joe Russo,Stephen McFeely
1186940,Viva a Vida,2025-01-30,6.0,12,30.6894,pt,"Comédia, Drama, Romance",Cris D'amato,Natalia Klein
1127110,Diablo,2025-06-13,6.72,25,150.7036,en,"Ação, Thriller",Ernesto Díaz Espinoza,Mat Sansom
1252309,Peça-me o Que Quiser,2024-11-29,6.231,212,34.4926,es,"Romance, Drama",Lucía Alemany,Ivy Hesh
9532,Premonição,2000-03-17,6.622,6100,35.3108,en,Terror,James Wong,James Wong
1193647,Mensagem em uma Garrafa,2025-05-01,8.0,4,34.5012,es,"Comédia, Fantasia, Drama, Romance",Gabriel Nesci,Gabriel Nesci
823219,Flow,2024-08-29,8.2,2045,34.3931,lv,"Animação, Fantasia, Aventura",Gints Zilbalodis,Matīss Kaža
1195506,Novocaine: À Prova de Dor,2025-03-12,6.9,885,33.577,en,"Ação, Comédia, Thriller",Robert Olsen,Lars Jacobson
1294203,Minha Culpa: Londres,2025-02-12,7.434,407,33.3689,en,"Romance, Drama",Charlotte Fassler,Melissa Osborne
1126166,Ameaça no Ar,2025-01-22,6.092,794,35.1601,en,"Ação, Thriller",Mel Gibson,Jared Rosenberg
676685,Pandabeer in Afrika,2024-03-15,6.907,54,32.1515,nl,"Animação, Aventura, Comédia, Família",Karsten Kiilerich,Rob Sprackling
829557,365 Dias: Hoje,2022-04-26,5.903,1728,33.0869,pl,"Romance, Drama",Tomasz Mandes,Tomasz Mandes
1397832,O Jogo da Viúva,2025-05-29,6.434,137,30.0211,es,"Thriller, Mistério",Carlos Sedes,Ramón Campos
1433735,Loco Por Ella,2025-04-17,7.8,12,31.2577,es,Comédia,Rodrigo Nava,Dariela Pérez
1397832,O Jogo da Viúva,2025-05-29,6.434,137,30.0211,es,"Thriller, Mistério",Carlos Sedes,Ramón Campos
1433735,Loco Por Ella,2025-04-17,7.8,12,31.2577,es,Comédia,Rodrigo Nava,Dariela Pérez
597,Titanic,1997-11-18,7.906,26064,32.7257,en,"Drama, Romance",James Cameron,James Cameron
539972,Kraven: O Caçador,2024-12-11,6.556,1765,31.467,en,"Ação, Aventura, Thriller",J.C. Chandor,Art Marcum
671,Harry Potter e a Pedra Filosofal,2001-11-16,7.901,28285,31.7971,en,"Aventura, Fantasia",Chris Columbus,Steve Kloves
1084199,Acompanhante Perfeita,2025-01-22,7.071,1389,35.2651,en,"Terror, Ficção científica, Thriller",Drew Hancock,Drew Hancock
558449,Gladiador 2,2024-11-13,6.707,3527,31.1644,en,"Ação, Aventura, Drama",Ridley Scott,David Scarpa
1562,Extermínio 2,2007-04-26,6.621,4594,31.6173,en,"Terror, Thriller, Ficção científica",Juan Carlos Fresnadillo,Rowan Joffe
857598,పుష్పా 2 - The Rule,2024-12-04,6.662,74,28.7711,te,"Ação, Drama, Thriller, Crime",Sukumar,Sukumar
811941,Devara: Rei dos Mares - Parte 1,2024-09-26,6.9,195,31.8065,te,"Ação, Drama",Koratala Siva,Koratala Siva
575264,Missão: Impossível - Acerto de Contas Parte 1,2023-07-08,7.531,4386,31.4784,en,"Ação, Aventura, Thriller",Christopher McQuarrie,Christopher McQuarrie
278,Um Sonho de Liberdade,1994-09-23,8.7,28445,30.8106,en,"Drama, Crime",Frank Darabont,Frank Darabont
462183,Salvaje despertar,2016-10-23,5.278,18,37.4786,es,"Drama, Romance, Thriller",Joan Fermí Martí,Joan Fermí Martí
20760,Lilo & Stitch 2: Stitch Deu Defeito,2005-08-22,6.678,1519,30.5434,en,"Animação, Família, Comédia, Ficção científica",Tony Leondis,Tony Leondis
693134,Duna: Parte Dois,2024-02-27,8.145,6747,29.4924,en,"Ficção científica, Aventura",Denis Villeneuve,Denis Villeneuve
603692,John Wick 4: Baba Yaga,2023-03-22,7.723,7146,30.5126,en,"Ação, Thriller, Crime",Chad Stahelski,Michael Finch
1151244,Vermiglio,2024-09-19,7.07,222,24.7464,it,Drama,Maura Delpero,Maura Delpero
1356236,Saint Catherine,2024-09-24,6.8,53,29.3784,en,Terror,Gonzalo Mellid,Gonzalo Mellid
27205,A Origem,2010-07-15,8.369,37562,33.0541,en,"Ação, Ficção científica, Aventura",Christopher Nolan,Christopher Nolan
696506,Mickey 17,2025-02-28,6.9,2228,28.9273,en,"Ficção científica, Comédia, Aventura",Bong Joon Ho,Bong Joon Ho
1448938,Abdução,2025-04-02,4.792,12,27.4958,en,Terror,Chris Riggi,Chris Riggi
55779,Premonição 5,2011-08-12,6.143,3719,27.7974,en,"Terror, Mistério",Steven Quale,Eric Heisserer
1083968,Confinado,2025-03-20,6.207,188,27.7254,en,"Thriller, Terror",David Yarovesky,Michael Arlen Ross
569094,Homem-Aranha: Através do Aranhaverso,2023-05-31,8.3,7639,27.7827,en,"Animação, Ação, Aventura, Ficção científica",Kemp Powers,David Callaham
1377424,വിക്ടോറിയ,2024-12-14,5.0,1,32.1537,ml,Drama,Sivaranjini J,Sivaranjini J
216015,Cinquenta Tons de Cinza,2015-02-11,5.885,12008,26.0148,en,"Drama, Romance, Thriller",Sam Taylor-Johnson,Kelly Marcel
1064213,Anora,2024-10-14,7.061,2288,28.533,en,"Drama, Comédia, Romance",Sean Baker,Sean Baker
351286,Jurassic World: Reino Ameaçado,2018-06-06,6.5,12098,24.4889,en,"Ação, Aventura, Ficção científica, Thriller",J.A. Bayona,Derek Connolly
24428,Os Vingadores: The Avengers,2012-04-25,7.762,32070,28.992,en,"Ficção científica, Ação, Aventura",Joss Whedon,Joss Whedon
402431,Wicked,2024-11-20,6.9,2188,24.6794,en,"Drama, Romance, Fantasia",Jon M. Chu,Winnie Holzman
872585,Oppenheimer,2023-07-19,8.1,10336,29.4791,en,"Drama, História",Christopher Nolan,Christopher Nolan
1097549,Babygirl,2024-12-25,5.8,780,26.3423,en,Drama,Halina Reijn,Halina Reijn
14836,Coraline e o Mundo Secreto,2009-02-05,7.893,8410,26.8039,en,"Animação, Família, Fantasia",Henry Selick,Henry Selick
198663,Maze Runner: Correr ou Morrer,2014-09-10,7.19,17396,25.0808,en,"Ação, Mistério, Ficção científica, Thriller",Wes Ball,Grant Pierce Myers
